course_name,absolute_course_url,school,school_absolute_url,subject_name,start_date
Introduction to Key Constitutional Concepts and Supreme Court Cases,https://www.classcentral.com/course/constitution-2082,Udacity School of AI: Now Special Discount,https://www.classcentral.com/university/penn,Social Sciences Courses,"22nd Jun, 2020"
Industrial Organization: Strategy and Competition in Business,https://www.classcentral.com/course/industrial-organization-10130,Udacity School of AI: Now Special Discount,https://www.classcentral.com/university/hse,Social Sciences Courses,"22nd Jun, 2020"
El cerebro y las emociones en el lenguaje,https://www.classcentral.com/course/edx-el-cerebro-y-las-emociones-en-el-lenguaje-12253,Columbia Business School Executive Education,https://www.classcentral.com/university/rosario,Personal Development Courses,Self paced
Comunicación estratégica: gestión de crisis e imagen pública,https://www.classcentral.com/course/edx-comunicacion-estrategica-gestion-de-crisis-e-imagen-publica-13099,Columbia Business School Executive Education,https://www.classcentral.com/university/javeriana,Personal Development Courses,Self paced
Introduction to Dynamical Systems and Chaos,https://www.classcentral.com/course/complexity-explorer-introduction-to-dynamical-systems-and-chaos-1182,Udacity Digital Marketing Course: Now Special Discount,https://www.classcentral.com/university/sfi,Mathematics Courses,Self paced
Estadística Aplicada a los Negocios,https://www.classcentral.com/course/edx-estadistica-aplicada-a-los-negocios-10270,Udacity Digital Marketing Course: Now Special Discount,https://www.classcentral.com/university/galileo,Mathematics Courses,Self paced
Migrating to the AWS Cloud,https://www.classcentral.com/course/edx-migrating-to-the-aws-cloud-19766,Columbia Business School Executive Education,https://www.classcentral.com/institution/aws,Programming Courses,Self paced
软件测试 (Software Testing),https://www.classcentral.com/course/softwaretesting-3357,Columbia Business School Executive Education,https://www.classcentral.com/university/nanjing,Programming Courses,"22nd Jun, 2020"
Como aprimorar e monetizar seu aplicativo para iOS e Apple Watch,https://www.classcentral.com/course/ios-avancado-4177,Columbia Business School Executive Education,https://www.classcentral.com/university/unicamp,Programming Courses,"22nd Jun, 2020"
Innovating in Health Care,https://www.classcentral.com/course/edx-innovating-in-health-care-1614,MIT xPRO,https://www.classcentral.com/university/harvard,Health & Medicine Courses,Self paced
Health Care In Danger,https://www.classcentral.com/course/independent-health-care-in-danger-3762,MIT xPRO,https://www.classcentral.com/institution/icrc,Health & Medicine Courses,Self paced
Cultural Diversity in Your Classroom,https://www.classcentral.com/course/independent-cultural-diversity-in-your-classroom-10768,UC Berkeley Executive Education,https://www.classcentral.com/institution/school-education-gateway,Education & Teaching Courses,Self paced
Preparing for the AP Physics C: Electricity & Magnetism Exam,https://www.classcentral.com/course/edx-preparing-for-the-ap-physics-c-electricity-magnetism-exam-2518,UC Berkeley Executive Education,https://www.classcentral.com/university/georgetown,Education & Teaching Courses,Self paced
"Growth Mindset: How to Help Your Child Learn, Grow, Thrive (K-12)",https://www.classcentral.com/course/canvas-network-growth-mindset-how-to-help-your-child-learn-grow-thrive-k-12-8142,UC Berkeley Executive Education,https://www.classcentral.com/subject/education?page=6,Education & Teaching Courses,Self paced
数据科学导论|Data Science: A New Way of Thinking,https://www.classcentral.com/course/edx--data-science-a-new-way-of-thinking-12731,Kellogg School of Management,https://www.classcentral.com/university/tsu,Data Science Courses,Self paced
高级大数据系统|Advanced Big Data Systems,https://www.classcentral.com/course/edx--advanced-big-data-systems-12738,Kellogg School of Management,https://www.classcentral.com/university/tsu,Data Science Courses,Self paced
Managing Big Data with R and Hadoop,https://www.classcentral.com/course/big-data-r-hadoop-8056,Kellogg School of Management,https://www.classcentral.com/institution/prace,Data Science Courses,Self paced
Real-Time Bluetooth Networks - Shape the World,https://www.classcentral.com/course/edx-real-time-bluetooth-networks-shape-the-world-6494,UC Berkeley Executive Education,https://www.classcentral.com/university/utexas,Engineering Courses,Self paced
Embedded Systems - Shape The World: Multi-Threaded Interfacing,https://www.classcentral.com/course/edx-embedded-systems-shape-the-world-multi-threaded-interfacing-8074,UC Berkeley Executive Education,https://www.classcentral.com/university/utexas,Engineering Courses,Self paced
Electronique II,https://www.classcentral.com/course/edx-electronique-ii-8010,UC Berkeley Executive Education,https://www.classcentral.com/university/epfl,Engineering Courses,Self paced
(Business Writing) الكتابة في مجال الأعمال,https://www.classcentral.com/course/writing-for-business-ar-13276,Columbia Business School Executive Education,https://www.classcentral.com/university/boulder,Humanities Courses,"22nd Jun, 2020"
Constructores de Paz,https://www.classcentral.com/course/constructores-de-paz-13252,Columbia Business School Executive Education,https://www.classcentral.com/university/uniandes,Humanities Courses,"22nd Jun, 2020"
Семантика (Московская семантическая школа и близкие теории),https://www.classcentral.com/course/moscow-semantic-school-10738,Columbia Business School Executive Education,https://www.classcentral.com/university/hse,Humanities Courses,"22nd Jun, 2020"
"HI-FIVE: Health Informatics For Innovation, Value & Enrichment (Administrative/IT Perspective)",https://www.classcentral.com/course/hi-five-admin-it-8099,UC Berkeley Executive Education,https://www.classcentral.com/university/columbia,Computer Science Courses,"15th Jun, 2020"
Getting Started with Google Kubernetes Engine 日本語版,https://www.classcentral.com/course/google-kubernetes-engine-jp-14412,UC Berkeley Executive Education,https://www.classcentral.com/institution/googlecloud,Computer Science Courses,"15th Jun, 2020"
世界空间、法国视角下的国际研究,https://www.classcentral.com/course/espace-mondial-cn-8311,Udacity School of AI: Now Special Discount,https://www.classcentral.com/university/sciencespo,Social Sciences Courses,"22nd Jun, 2020"
